Entry Time,Symbols,Exit Time,Direction,Entry Price,Exit Price,Quantity,P&L,Fees,MAE,MFE,Drawdown,IsWin,Order Ids
2019-01-02T20:55:00Z,"BIL",2019-01-07T20:55:00Z,Buy,76.000689974,76.017309412,1312,21.8,13.12,-10.9,32.71,21.8,1,"	1,2" 
2019-01-07T20:55:00Z,"TSLA",2019-01-08T20:55:00Z,Buy,22.3639977636,22.3213311012,2582,-110.17,25.82,-1437.31,1402.89,2840.2,0,"	3,5" 
2019-01-07T20:55:00Z,"BIL",2019-01-08T20:55:00Z,Buy,76.025619131,76.017309412,552,-4.59,5.52,-4.59,0,4.59,0,"	4,6" 
2019-01-08T20:55:00Z,"BIL",2019-01-09T20:55:00Z,Buy,76.025619131,76.025619131,391,0,3.91,-3.25,3.25,3.25,0,"	8,9" 
2019-01-08T20:55:00Z,"AMZN",2019-01-09T20:55:00Z,Buy,82.562852078,82.468074948,845,-80.09,8.45,-485.58,488.11,957.25,0,"	7,10" 
2019-01-09T20:55:00Z,"MSFT",2019-01-10T20:55:00Z,Buy,97.076349638,96.730948644,959,-331.24,9.59,-1414.48,250.67,1665.15,0,"	11,12" 
2019-01-10T20:55:00Z,"BIL",2019-01-11T20:55:00Z,Buy,76.042238569,76.042238569,363,0,3.63,-3.02,3.02,3.02,0,"	14,15" 
2019-01-10T20:55:00Z,"AMZN",2019-01-15T20:55:00Z,Buy,82.736443874,83.305605481,865,492.32,8.65,-2486.22,570.86,2492.26,1,"	13,20" 
2019-01-11T20:55:00Z,"BIL",2019-01-14T20:55:00Z,Buy,76.050548288,76.042238569,360,-2.99,3.6,-2.99,2.99,5.98,0,"	16,17" 
2019-01-14T20:55:00Z,"BIL",2019-01-15T20:55:00Z,Buy,76.050548288,76.050548288,355,0,3.55,-2.95,2.95,2.95,0,"	18,19" 
2019-01-15T20:55:00Z,"TSLA",2019-01-16T20:55:00Z,Buy,23.0039976996,23.0379976962,2401,81.63,24.01,-150.46,1083.65,1002.02,1,"	21,23" 
2019-01-15T20:55:00Z,"BIL",2019-01-16T20:55:00Z,Buy,76.058858007,76.058858007,583,0,5.83,-4.84,4.84,4.84,0,"	22,24" 
2019-01-16T20:55:00Z,"BIL",2019-01-17T20:55:00Z,Buy,76.067167726,76.075477445,357,2.97,3.57,-2.97,5.93,2.97,1,"	26,27" 
2019-01-16T20:55:00Z,"AMZN",2019-01-17T20:55:00Z,Buy,84.083276774,84.43145802,862,300.13,8.62,-300.13,611.01,485.03,1,"	25,28" 
2019-01-17T20:55:00Z,"TSLA",2019-01-18T20:55:00Z,Buy,23.1726643494,20.1606646506,2443,-7358.32,24.43,-7750.82,0,7750.82,0,"	29,31" 
2019-01-17T20:55:00Z,"BIL",2019-01-18T20:55:00Z,Buy,76.083787164,76.075477445,569,-4.73,5.69,-4.73,4.73,9.46,0,"	30,32" 
2019-01-18T20:55:00Z,"BIL",2019-01-22T20:55:00Z,Buy,76.083787164,76.083787164,304,0,3.04,-2.53,2.53,2.53,0,"	34,35" 
2019-01-18T20:55:00Z,"META",2019-01-23T20:55:00Z,Buy,148.63361226,142.819239978,467,-2715.31,5.06,-3081.37,787.72,3869.09,0,"	33,38" 
2019-01-22T20:55:00Z,"META",2019-01-23T20:55:00Z,Buy,146.004245955,142.819239978,78,-248.43,1,-309.57,336.66,363.75,0,"	36,38" 
2019-01-22T20:55:00Z,"BIL",2019-01-23T20:55:00Z,Buy,76.092096883,76.092096883,154,0,2,-1.28,1.28,1.28,0,"	37,39" 
2019-01-23T20:55:00Z,"MSFT",2019-01-24T20:55:00Z,Buy,99.27944787,99.167425926,892,-99.92,8.92,-799.39,349.73,1149.12,0,"	40,41" 
2019-01-24T20:55:00Z,"BIL",2019-01-25T20:55:00Z,Buy,76.11702604,76.108716321,224,-1.86,2.24,-1.86,0,1.86,0,"	43,44" 
